FDID,Source,Value
124917,Auto,Medium
124918,Auto,Medium
124919,Auto,Medium
124920,Auto,Medium
124923,Auto,Small
124928,Auto,Medium
124932,Auto,Medium
124945,Auto,Small
124952,Auto,Medium
124956,Auto,Medium
124957,Auto,Large
124972,Auto,Large
124973,Auto,Large
124977,Auto,Large
124979,Auto,Large
124981,Auto,Large
124984,Auto,Medium
124985,Auto,Large
124986,Auto,Medium
124987,Auto,Large
124988,Auto,Medium
125009,Auto,Medium
125012,Auto,Small
125013,Auto,Medium
125017,Auto,Medium
125021,Auto,Large
125023,Auto,Small
125024,Auto,Medium
125041,Auto,Medium
125044,Auto,Medium
125045,Auto,Medium
125049,Auto,Huge
125051,Auto,Medium
125059,Auto,Large
125069,Auto,Medium
125075,Auto,Medium
125078,Auto,Medium
125092,Auto,Small
125103,Auto,Medium
125108,Auto,Medium
125117,Auto,Medium
125126,Auto,Medium
125131,Auto,Medium
125140,Auto,Large
125168,Auto,Large
125170,Auto,Large
125178,Auto,Large
125197,Auto,Medium
125203,Auto,Medium
125208,Auto,Medium
125217,Auto,Medium
125218,Auto,Large
125223,Auto,Medium
125227,Auto,Medium
125228,Auto,Large
125232,Auto,Very Large
125233,Auto,Very Large
125234,Auto,Small
125239,Auto,Medium
125244,Auto,Large
125247,Auto,Large
125250,Auto,Very Large
125251,Auto,Small
125254,Auto,Medium
125257,Auto,Medium
125259,Auto,Small
125260,Auto,Medium
125263,Auto,Medium
125264,Auto,Medium
125293,Auto,Medium
125300,Auto,Medium
125313,Auto,Medium
125317,Auto,Medium
125336,Auto,Medium
125349,Auto,Medium
125358,Auto,Medium
125362,Auto,Small
125365,Auto,Small
125367,Auto,Small
125370,Auto,Small
125372,Auto,Medium
125374,Auto,Medium
125377,Auto,Medium
125378,Auto,Medium
125389,Auto,Medium
125392,Auto,Small
125394,Auto,Tiny
125395,Auto,Medium
125405,Auto,Small
125407,Auto,Medium
125417,Auto,Medium
125420,Auto,Small
125426,Auto,Medium
125427,Auto,Medium
125432,Auto,Very Large
125434,Auto,Tiny
125435,Auto,Very Large
125437,Auto,Medium
125444,Auto,Medium
125446,Auto,Medium
125447,Auto,Medium
125448,Auto,Medium
125449,Auto,Very Large
125450,Auto,Medium
125451,Auto,Medium
125452,Auto,Medium
125453,Auto,Medium
125454,Auto,Large
125497,Auto,Small
125498,Auto,Small
125499,Auto,Small
125500,Auto,Medium
125504,Auto,Medium
125508,Auto,Medium
125512,Auto,Small
125513,Auto,Small
125518,Auto,Medium
125519,Auto,Very Large
125522,Auto,Medium
125531,Auto,Medium
125546,Auto,Medium
125559,Auto,Medium
125568,Auto,Medium
125576,Auto,Small
125578,Auto,Medium
125581,Auto,Medium
125583,Auto,Medium
125586,Auto,Large
125589,Auto,Medium
125593,Auto,Medium
125595,Auto,Medium
125603,Auto,Medium
125614,Auto,Medium
125620,Auto,Medium
125632,Auto,Medium
125644,Auto,Medium
125649,Auto,Medium
125680,Auto,Medium
125687,Auto,Medium
125698,Auto,Medium
125699,Auto,Medium
125715,Auto,Medium
125718,Auto,Medium
125729,Auto,Medium
125741,Auto,Large
125743,Auto,Medium
125747,Auto,Medium
125763,Auto,Medium
125764,Auto,Medium
125768,Auto,Medium
125777,Auto,Medium
125782,Auto,Medium
125790,Auto,Large
125795,Auto,Large
125796,Auto,Medium
125815,Auto,Small
125825,Auto,Large
125830,Auto,Medium
125835,Auto,Medium
125837,Auto,Medium
125843,Auto,Medium
125851,Auto,Medium
125852,Auto,Medium
125854,Auto,Medium
125859,Auto,Medium
125860,Auto,Medium
125865,Auto,Small
125869,Auto,Medium
125876,Auto,Small
125882,Auto,Large
125883,Auto,Large
125886,Auto,Large
125891,Auto,Medium
125892,Auto,Medium
125902,Auto,Medium
125912,Auto,Large
125913,Auto,Large
125931,Auto,Medium
125932,Auto,Medium
125938,Auto,Medium
125942,Auto,Small
125947,Auto,Small
125948,Auto,Small
125956,Auto,Small
125957,Auto,Medium
125958,Auto,Medium
125965,Auto,Large
125967,Auto,Medium
125969,Auto,Small
125980,Auto,Medium
125984,Auto,Small
125988,Auto,Medium
125989,Auto,Medium
125990,Auto,Small
125991,Auto,Medium
125992,Auto,Medium
125993,Auto,Medium
125994,Auto,Medium
125995,Auto,Medium
126004,Auto,Small
126005,Auto,Small
126006,Auto,Medium
126007,Auto,Medium
126009,Auto,Small
126011,Auto,Small
126012,Auto,Medium
126013,Auto,Small
126014,Auto,Small
126016,Auto,Medium
126018,Auto,Medium
126020,Auto,Small
126022,Auto,Medium
126024,Auto,Medium
126026,Auto,Small
126032,Auto,Small
126033,Auto,Medium
126036,Auto,Medium
126040,Auto,Small
126041,Auto,Small
126042,Auto,Medium
126045,Auto,Medium
126047,Auto,Medium
126052,Auto,Large
126055,Auto,Medium
126061,Auto,Small
126065,Auto,Medium
126069,Auto,Small
126072,Auto,Medium
126075,Auto,Medium
126077,Auto,Large
126078,Auto,Medium
126081,Auto,Medium
126101,Auto,Medium
126106,Auto,Medium
126117,Auto,Medium
126124,Auto,Medium
126130,Auto,Small
126131,Auto,Medium
126133,Auto,Small
126136,Auto,Small
126137,Auto,Medium
126143,Auto,Small
126149,Auto,Large
126150,Auto,Medium
126153,Auto,Medium
126158,Auto,Huge
126169,Auto,Medium
126171,Auto,Small
126172,Auto,Medium
126173,Auto,Small
126174,Auto,Medium
126194,Auto,Medium
126195,Auto,Medium
126198,Auto,Medium
126199,Auto,Medium
126214,Auto,Medium
126215,Auto,Medium
126223,Auto,Huge
126225,Auto,Medium
126235,Auto,Medium
126239,Auto,Small
126244,Auto,Medium
126245,Auto,Medium
126246,Auto,Medium
126247,Auto,Medium
126248,Auto,Medium
126249,Auto,Medium
126267,Auto,Medium
126277,Auto,Medium
126278,Auto,Medium
126281,Auto,Medium
126286,Auto,Small
126289,Auto,Medium
126300,Auto,Medium
126302,Auto,Medium
126304,Auto,Medium
126306,Auto,Medium
126314,Auto,Small
126320,Auto,Medium
126326,Auto,Large
126332,Auto,Large
126337,Auto,Medium
126342,Auto,Large
126350,Auto,Large
126353,Auto,Large
126363,Auto,Medium
126369,Auto,Medium
126371,Auto,Medium
126382,Auto,Small
126390,Auto,Large
126391,Auto,Very Large
126397,Auto,Medium
126403,Auto,Medium
126407,Auto,Medium
126410,Auto,Medium
126418,Auto,Medium
126419,Auto,Large
126420,Auto,Very Large
126423,Auto,Small
126424,Auto,Small
126426,Auto,Medium
126437,Auto,Very Large
126440,Auto,Very Large
126441,Auto,Very Large
126443,Auto,Very Large
126444,Auto,Medium
126449,Auto,Medium
126452,Auto,Medium
126465,Auto,Medium
126483,Auto,Small
126487,Auto,Medium
126488,Auto,Medium
126501,Auto,Small
126502,Auto,Medium
126511,Auto,Medium
126512,Auto,Medium
126521,Auto,Medium
126530,Auto,Medium
126532,Auto,Medium
126540,Auto,Medium
126547,Auto,Medium
126560,Auto,Medium
126561,Auto,Medium
126565,Auto,Very Large
126568,Auto,Medium
126570,Auto,Small
126571,Auto,Small
126575,Auto,Small
126577,Auto,Medium
126586,Auto,Large
126597,Auto,Medium
130452,Auto,Huge
130465,Auto,Huge
130469,Auto,Huge
130476,Auto,Huge
130481,Auto,Huge
130482,Auto,Huge
130485,Auto,Very Large
130493,Auto,Large
130495,Auto,Large
130497,Auto,Huge
130502,Auto,Huge
130525,Auto,Huge
130551,Auto,Huge
130552,Auto,Huge
130575,Auto,Huge
130593,Auto,Huge
130601,Auto,Huge
130616,Auto,Huge
130623,Auto,Huge
130629,Auto,Large
130636,Auto,Very Large
130645,Auto,Huge
130731,Auto,Small
130732,Auto,Small
130733,Auto,Small
130734,Auto,Tiny
130735,Auto,Small
130736,Auto,Small
130737,Auto,Small
130738,Auto,Small
130745,Auto,Small
130746,Auto,Very Large
131012,Auto,Tiny
131921,Auto,Huge
131934,Auto,Large
131940,Auto,Large
131948,Auto,Medium
131970,Auto,Huge
131982,Auto,Very Large
131993,Auto,Huge
132003,Auto,Large
132005,Auto,Small
132007,Auto,Small
132010,Auto,Small
132016,Auto,Small
132020,Auto,Small
132025,Auto,Small
132035,Auto,Huge
132046,Auto,Medium
136255,Auto,Tiny
136432,Auto,Tiny
136433,Auto,Tiny
136436,Auto,Tiny
136444,Auto,Tiny
136447,Auto,Tiny
137236,Auto,Medium
137238,Auto,Small
137239,Auto,Small
137240,Auto,Small
137241,Auto,Small
137242,Auto,Small
137247,Auto,Small
137253,Auto,Medium
137443,Auto,Tiny
137444,Auto,Tiny
137445,Auto,Tiny
137446,Auto,Tiny
137447,Auto,Tiny
137448,Auto,Tiny
137449,Auto,Tiny
137450,Auto,Tiny
137451,Auto,Tiny
137452,Auto,Tiny
137453,Auto,Tiny
137454,Auto,Tiny
137455,Auto,Tiny
137456,Auto,Tiny
137457,Auto,Tiny
137458,Auto,Tiny
137459,Auto,Tiny
137460,Auto,Tiny
137461,Auto,Tiny
137462,Auto,Tiny
137463,Auto,Tiny
137464,Auto,Tiny
137467,Auto,Tiny
137468,Auto,Tiny
137469,Auto,Tiny
137470,Auto,Tiny
137471,Auto,Tiny
137472,Auto,Tiny
137473,Auto,Tiny
137474,Auto,Tiny
137475,Auto,Tiny
137476,Auto,Tiny
137477,Auto,Tiny
137478,Auto,Tiny
137479,Auto,Tiny
137480,Auto,Tiny
137481,Auto,Tiny
137482,Auto,Tiny
137483,Auto,Tiny
137484,Auto,Tiny
137485,Auto,Tiny
137486,Auto,Tiny
137487,Auto,Tiny
137488,Auto,Tiny
137491,Auto,Tiny
137492,Auto,Tiny
137493,Auto,Tiny
137494,Auto,Tiny
137495,Auto,Tiny
137496,Auto,Tiny
137497,Auto,Tiny
137498,Auto,Tiny
137499,Auto,Tiny
137500,Auto,Tiny
137501,Auto,Tiny
137502,Auto,Tiny
137503,Auto,Tiny
137504,Auto,Tiny
137505,Auto,Tiny
137506,Auto,Tiny
137507,Auto,Tiny
137508,Auto,Tiny
137509,Auto,Tiny
137510,Auto,Tiny
137511,Auto,Tiny
137512,Auto,Tiny
137520,Auto,Tiny
137521,Auto,Tiny
137522,Auto,Tiny
137523,Auto,Tiny
137524,Auto,Tiny
137525,Auto,Tiny
137526,Auto,Tiny
137527,Auto,Tiny
137528,Auto,Tiny
137529,Auto,Tiny
137530,Auto,Tiny
137531,Auto,Tiny
137532,Auto,Tiny
137533,Auto,Tiny
137534,Auto,Tiny
137535,Auto,Tiny
137536,Auto,Tiny
137537,Auto,Tiny
137538,Auto,Tiny
137539,Auto,Tiny
137540,Auto,Tiny
137541,Auto,Tiny
137548,Auto,Tiny
137549,Auto,Tiny
137550,Auto,Tiny
137551,Auto,Tiny
137552,Auto,Tiny
137553,Auto,Tiny
137554,Auto,Tiny
137555,Auto,Tiny
137556,Auto,Tiny
137557,Auto,Tiny
137558,Auto,Tiny
137559,Auto,Tiny
137560,Auto,Tiny
137561,Auto,Tiny
137562,Auto,Tiny
137563,Auto,Tiny
137564,Auto,Tiny
137565,Auto,Tiny
137566,Auto,Tiny
137567,Auto,Tiny
137568,Auto,Tiny
