FDID,Value
3182221,Encrypted (Unknown)
3182222,Encrypted (Unknown)
3182223,Encrypted (Unknown)
3182224,Encrypted (Unknown)
3182225,Encrypted (Unknown)
3182226,Encrypted (Unknown)
3182227,Encrypted (Unknown)
3182228,Encrypted (Unknown)
3182229,Encrypted (Unknown)
3182230,Encrypted (Unknown)
3182232,Encrypted (Unknown)
3182234,Encrypted (Unknown)
3182236,Encrypted (Unknown)
3182238,Encrypted (Unknown)
3182239,Encrypted (Unknown)
3182240,Encrypted (Unknown)
3182241,Encrypted (Unknown)
3182242,Encrypted (Unknown)
3182243,Encrypted (Unknown)
3182244,Encrypted (Unknown)
3182245,Encrypted (Unknown)
3182247,Encrypted (Unknown)
3182248,Encrypted (Unknown)
3182249,Encrypted (Unknown)
3182250,Encrypted (Unknown)
3182252,Encrypted (Unknown)
3182253,Encrypted (Unknown)
3182254,Encrypted (Unknown)
3182255,Encrypted (Unknown)
3182258,Encrypted (Unknown)
3182259,Encrypted (Unknown)
3182260,Encrypted (Unknown)
3182261,Encrypted (Unknown)
3182262,Encrypted (Unknown)
3182263,Encrypted (Unknown)
3182264,Encrypted (Unknown)
3182265,Encrypted (Unknown)
3182266,Encrypted (Unknown)
3182267,Encrypted (Unknown)
3182268,Encrypted (Unknown)
3182269,Encrypted (Unknown)
3182274,Encrypted (Unknown)
3182275,Encrypted (Unknown)
3182276,Encrypted (Unknown)
3182277,Encrypted (Unknown)
3182278,Encrypted (Unknown)
3182279,Encrypted (Unknown)
3182280,Encrypted (Unknown)
3182281,Encrypted (Unknown)
3182307,Encrypted (Unknown)
3182308,Encrypted (Unknown)
3182309,Encrypted (Unknown)
3182310,Encrypted (Unknown)
3182311,Encrypted (Unknown)
3182312,Encrypted (Unknown)
3182313,Encrypted (Unknown)
3182314,Encrypted (Unknown)
3182315,Encrypted (Unknown)
3182316,Encrypted (Unknown)
3182317,Encrypted (Unknown)
3182318,Encrypted (Unknown)
3182319,Encrypted (Unknown)
3182320,Encrypted (Unknown)
3182321,Encrypted (Unknown)
3182322,Encrypted (Unknown)
3182324,Encrypted (Unknown)
3182325,Encrypted (Unknown)
3182326,Encrypted (Unknown)
3182327,Encrypted (Unknown)
3182328,Encrypted (Unknown)
3182329,Encrypted (Unknown)
3182330,Encrypted (Unknown)
3182331,Encrypted (Unknown)
3182457,Encrypted (Known)
3182519,Encrypted (Known)
3182521,Encrypted (Known)
3182523,Encrypted (Known)
3182525,Encrypted (Known)
3182527,Encrypted (Known)
3182529,Encrypted (Known)
3182531,Encrypted (Known)
3182533,Encrypted (Known)
3182535,Encrypted (Known)
3182537,Encrypted (Known)
3182539,Encrypted (Known)
3182541,Encrypted (Known)
3182543,Not Encrypted (Deduped)
3182545,Not Encrypted (Deduped)
3182547,Not Encrypted (Deduped)
3182549,Not Encrypted (Deduped)
3182551,Not Encrypted (Deduped)
3182553,Not Encrypted (Deduped)
3182555,Not Encrypted (Deduped)
